Date,Preamble,Motion,In Favour,Against,Notes,Result
2014-08-25,Amendment,"That Clause 6 be amended by removing “and the Concept Design for St. George’s
      Square” and be replaced with “for Macdonel Street”.","Bell,Furfaro,Guthrie,Kovach,Van Hellemond","Farbridge,Dennis,Findlay,Hofland,Laidlaw,Piper,Wettstein","VOTING AGAINST: Mayor Farbridge, Councillors Dennis, Findlay, Hofland, Laidlaw, Piper and
Wettstein (7)",DEFEATED
2014-08-25,"Main Motion
It was requested that the clauses be voted on separately.","that the clauses be voted on separately.

11.   Moved by Councillor Bell
      Seconded by Councillor Wettstein


                                                                                         Page 9                                                           August 25, 2014 Guelph City Council Meeting


      1. That the Planning, Building, Engineering and Environment Report 14-47, regarding
          the Downtown Guelph Downtown Streetscape Manual, Built Form Standards and St.
          George’s Square Concept, dated August 5, 2014, be received.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"","2. That the Streetscape Manual (contained in Chapter 2 of Attachment 1) be adopted
          and that staff be directed to use the Streetscape Manual to guide the design of the

          City’s public realm capital projects and private investments that impact the public
          realm in the Downtown.","Farbridge,Bell,Dennis,Findlay,Furfaro,Hofland,Laidlaw,Piper,Wettstein","Guthrie,Kovach,Van Hellemond","",CARRIED
2014-08-25,"","3. That the Downtown Built Form Standards (contained in Chapter 3 of Attachment 1)
          be adopted and that staff be directed to use the document to guide the review of
          development applications within Downtown.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Laidlaw,Piper,Van Hellemond,Wettstein",Kovach,"",CARRIED
2014-08-25,"","4. That Council endorse the vision, principles and general design elements illustrated by
          the Conceptual Design for St. George’s Square (contained in Chapter 4 of Attachment
          1).","Farbridge,Dennis,Findlay,Hofland,Laidlaw,Piper,Wettstein","Bell,Furfaro,Guthrie,Kovach,Van Hellemond","",CARRIED
2014-08-25,"","5. That, as individual public realm capital projects begin advancing through the detailed
          design phase prior to construction, such as St. George’s Square and other


                                                                                        Page 10                                                           August 25, 2014 Guelph City Council Meeting


          streetscape reconstruction projects, staff continue to engage the public and
          businesses in the design and construction planning process phase; and that staff
          keep council informed regarding refinements and improvements to the design made
          through the detailed design process.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Laidlaw,Piper,Van Hellemond,Wettstein",Kovach,"",CARRIED
2014-08-25,"","6. That the cost estimates for the Streetscape Manual and the Conceptual Design for St.

          George’s Square be referred to the 2015 operating and capital budget and 10 year
          capital budgeting process.","Farbridge,Dennis,Findlay,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","Bell,Furfaro,Guthrie","",CARRIED
2014-08-25,"CON-2104.45         5 Arthur Street South – Proposed Zoning By-law Amendment (File:

                    ZC2305) – Ward 1

Mr. Todd Salter, General Manager of Planning Services, introduced the report and provided a
brief history of the application.


Ms. Katie Nasswetter, Senior Development Planner, highlighted the application for a six (6)
phased mixed use, residential and commercial development on the property known as 5 Arthur
Street South. She reviewed the proposed holding provisions that must be completed before
development can proceed.


Ms. Pamela Kraft was present on behalf of Fusion Homes and advised City documents allow a
12 storey building on the site and the proposed building heights allow flexibility to address
urban design and market demand. She advised the applicant is continuing to examine options
for the development of the heritage building.


Ms. Lin Grist read the statement from Hugh Whiteley who was unable to attend the meeting,
who requested that the policy of acquiring riverside corridors for publicly-owned parks be
maintained and applied to the proposed development at 5 Arthur St. S. He expressed concern
that the proposed easement for public access does not allow the creation of a park as called for

in Official Plan Amendment 43.

Ms. Maria Pezzano, Co-Chair of The Ward Residents’ Association, expressed concern their
Association was not made aware of the change to the height of the central buildings. She

requested that Council limit the three central building’s height to ten stories.

Mr. William Sleeth advised he supports the comments made by the previous delegation. He
expressed concern that no public consultation was sought relating to the change in height of
the central buildings.


                                                                                        Page 11                                                            August 25, 2014 Guelph City Council Meeting


Ms. Laura Murr advised she is a member of the Living Rivers and Greenways Group Guelph and
strongly supports public ownership of the river corridor and access to the rivers and their
valleylands. She requested the policy of acquiring riverside corridors be maintained which
would allow for the creation of a park called for in the Official Plan Amendment 43. She
suggested the cash-in-lieu of parkland to be received from this development be used to

purchase the riverwalk.","that must be completed before
development can proceed.


Ms. Pamela Kraft was present on behalf of Fusion Homes and advised City documents allow a
12 storey building on the site and the proposed building heights allow flexibility to address
urban design and market demand. She advised the applicant is continuing to examine options
for the development of the heritage building.


Ms. Lin Grist read the statement from Hugh Whiteley who was unable to attend the meeting,
who requested that the policy of acquiring riverside corridors for publicly-owned parks be
maintained and applied to the proposed development at 5 Arthur St. S. He expressed concern
that the proposed easement for public access does not allow the creation of a park as called for

in Official Plan Amendment 43.

Ms. Maria Pezzano, Co-Chair of The Ward Residents’ Association, expressed concern their
Association was not made aware of the change to the height of the central buildings. She

requested that Council limit the three central building’s height to ten stories.

Mr. William Sleeth advised he supports the comments made by the previous delegation. He
expressed concern that no public consultation was sought relating to the change in height of
the central buildings.


                                                                                        Page 11                                                            August 25, 2014 Guelph City Council Meeting


Ms. Laura Murr advised she is a member of the Living Rivers and Greenways Group Guelph and
strongly supports public ownership of the river corridor and access to the rivers and their
valleylands. She requested the policy of acquiring riverside corridors be maintained which
would allow for the creation of a park called for in the Official Plan Amendment 43. She
suggested the cash-in-lieu of parkland to be received from this development be used to

purchase the riverwalk.

17.   Moved by Councillor Kovach
      Seconded by Councillor Hofland


      1. That Report 14-38 regarding Official Plan and Zoning By-law Amendment applications
          by 5 Arthur Street Developments, 2278560 Ontario Inc., for approval of an Official
          Plan Amendment and Zoning By-law Amendment to permit the development of a six
          (6) phase mixed use, residential and commercial development for the property

          municipally known as 5 Arthur Street South, and legally described as Part of Grist
          Mill Lands, East side of Speed River, Plan 113 and Part Lot 76, and Lots 77, 78, 79,
          80, 81 and 82, Plan 113, (as amended), designated as Parts 11, 12 and 13,
          Reference Plan 61R11955, together with an easement over Part 17, 61R11955 as in

          Instrument No. WC212993; Guelph and Part of Grist Mill Lands, Plan 113, East of
          River Speed, designated as Parts 14, 15 and 16, Reference Plan 61R11955; subject
          to an Easement as in Instrument No. RO682767; together with an Easement over
          Part 17, 61R11955 as in Instrument No. WC212993; City of Guelph, be approved in
          accordance with the zoning regulations and conditions outlined in Attachment 2.


      2. That in accordance with Section 34(17) of the Planning Act, City Council has
          determined that no further public notice is required related to the minor
          modifications to the proposed Zoning By-law Amendment affecting 5 Arthur Street
          South.


      3. That the CAO be authorized to approve a development agreement or related
          agreement(s) including terms described in Staff Report 14-38 pursuant to terms
          described in the staff report and subject to applicable policies and legislation, in
          consultation with the City Solicitor, Executive Director for Community and Social

          Services, the Executive Director Planning Building, Engineering &Environment and
          the Chief Financial Officer, for the period of September 12, 2014 through to
          December 1, 2014.


Amendment

18.   Moved by Councillor Bell
      Seconded by Councillor Laidlaw


      That the maximum heights of Buildings 1, 2 and 3 be 10, 11 and 10 storeys respectively.","Farbridge,Bell,Findlay,Guthrie,Hofland,Laidlaw,Piper,Van Hellemond","Dennis,Kovach,Wettstein",Councillor Furfaro did not vote due to his declared potentialpecuniary interest.,CARRIED
2014-08-25,"Page 12                                                           August 25, 2014 Guelph City Council Meeting


Main Motion","1. That Report 14-38 regarding Official Plan and Zoning By-law Amendment applications
          by 5 Arthur Street Developments, 2278560 Ontario Inc., for approval of an Official
          Plan Amendment and Zoning By-law Amendment to permit the development of a six
          (6) phase mixed use, residential and commercial development for the property

          municipally known as 5 Arthur Street South, and legally described as Part of Grist
          Mill Lands, East side of Speed River, Plan 113 and Part Lot 76, and Lots 77, 78, 79,
          80, 81 and 82, Plan 113, (as amended), designated as Parts 11, 12 and 13,
          Reference Plan 61R11955, together with an easement over Part 17, 61R11955 as in
          Instrument No. WC212993; Guelph and Part of Grist Mill Lands, Plan 113, East of

          River Speed, designated as Parts 14, 15 and 16, Reference Plan 61R11955; subject
          to an Easement as in Instrument No. RO682767; together with an Easement over
          Part 17, 61R11955 as in Instrument No. WC212993; City of Guelph, be approvedin
          accordance with the zoning regulations and conditions, as amended, outlined in

          Attachment 2.

      2. That in accordance with Section 34(17) of the Planning Act, City Council has
          determined that no further public notice is required related to the minor
          modifications to the proposed Zoning By-law Amendment affecting 5 Arthur Street

          South.

      3. That the CAO be authorized to approve a development agreement or related
          agreement(s) including terms described in Staff Report 14-38 pursuant to terms
          described in the staff report and subject to applicable policies and legislation, in

          consultation with the City Solicitor, Executive Director for Community and Social
          Services, the Executive Director Planning Building, Engineering & Environment and
          the Chief Financial Officer, for the period of September 12, 2014 through to
          December 1, 2014","Farbridge,Bell,Dennis,Findlay,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","",Councillor Furfaro did not vote due to his declared potential pecuniary interest.,CARRIED
2014-08-25,"IA-2014.6 Learning and Development Audit Report
IA-2014.7 Learning and Development Audit Management’s Response

Ms. Katherine Gray, Business Performance Specialist, presented theLearning and Development

Audit and highlighted the seven recommendations.

Mr. David Godwaldt, General Manager of Human Resources, reviewed managements response
and outlined the actions to be undertaken to address the recommendations in the Learning and
Development Audit.","That the City of Guelph Procedural By-law be suspended to allow Council to continue
      beyond 11:00 p.m.","","","",CARRIED
2014-08-25,"","1. That the Council receive the Learning and Development Audit report.


      2. That the August 25, 2014 report titled “Learning and Development Management
          Response” be received for information.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,PBEE-2014.25       Enbridge Line 9B Application,That no action be taken regarding the Enbridge Line 9B Application.,"Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,,Kovach,Laidlaw,Van Hellemond,Wettstein","Hofland,Piper","",CARRIED
2014-08-25,By-laws,"That By-laws Numbered (2014)-19789 to (2014)-19792 and By-laws Numbered (2014)-
      19794 to (2014)-19802, inclusive, are hereby passed.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"","That By-law Number (2014)-19793, as amended, is hereby passed.","Farbridge,Bell,Dennis,Findlay,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","",Councillor Furfaro did not vote due to his declared potential pecuniary interest.,CARRIED
2014-08-25,"Page 14                                                            August 25, 2014 Guelph City Council Meeting


Notice of Motion

Councillor Kovach gave notice that she will be bringing forward a motion to a subsequent

meeting with respect to financial reporting.

Councillor Guthrie gave notice that he will be bringing forward a motion to a subsequent

meeting with respect to communication procedures to residents relating to developments.

Adjournment (11:20 p.m.)","that she will be bringing forward a motion to a subsequent

meeting with respect to financial reporting.

Councillor Guthrie gave notice that he will be bringing forward a motion to a subsequent

meeting with respect to communication procedures to residents relating to developments.

Adjournment (11:20 p.m.)


25.    Moved by Councillor Dennis
       Seconded by Councillor Hofland

       That the meeting be adjourned.","","","",CARRIED
